number,name,status
625,Filename of a Source Distribution,SA
630,Isolating Extension Modules,IF
624,Remove Py_UNICODE encoder APIs,SF
623,Remove wstr from Unicode,SF
619,Python 3.10 Release Schedule,IA
621,Storing project metadata in pyproject.toml,SF
617,New PEG parser for CPython,SF
622,Structural Pattern Matching,SS
616,String methods to remove prefixes and suffixes,SF
618,Add Optional Length-Checking To zip,SF
620,Hide implementation details from the C API,SW
613,Explicit Type Aliases,SF
614,Relaxing Grammar Restrictions On Decorators,SF
609,Python Packaging Authority (PyPA) Governance,PA
612,Parameter Specification Variables,SF
615,Support for the IANA Time Zone Database in the Standard Library,SF
610,Recording the Direct URL Origin of installed distributions,SF
611,The one million limit,SW
608,Coordinated Python release,SR
607,Reducing CPython’s Feature Delivery Latency,IF
604,Allow writing union types as X | Y,SF
603,Adding a frozenmap type to collections,S
606,Python Compatibility Version,SR
602,Annual Release Cycle for Python,PA
601,Forbid return/break/continue breaking out of finally,SR
605,A rolling feature release stream for CPython,IR
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,SF
598,Introducing incremental feature releases,IW
597,Add optional EncodingWarning,SF
594,Removing dead batteries from the standard library,SF
599,The manylinux2014 Platform Tag,IS
592,Adding “Yank” Support to the Simple API,SF
593,Flexible function and variable annotations,SF
596,Python 3.9 Release Schedule,IA
595,Improving bugs.python.org,IW
591,Adding a final qualifier to typing,SF
588,GitHub Issues Migration Plan,I
590,Vectorcall: a fast calling protocol for CPython,SA
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,SF
587,Python Initialization Configuration,SF
586,Literal Types,SF
585,Type Hinting Generics In Standard Collections,SF
584,Add Union Operators To dict,SF
583,A Concurrency Memory Model for Python,IW
580,The C call protocol,SR
582,Python local packages directory,SR
581,Using GitHub Issues for CPython,PF
579,Refactoring C functions and methods,IF
578,Python Runtime Audit Hooks,SF
576,Rationalize Built-in function classes,SW
575,Unifying function/method classes,SW
577,Augmented Assignment Expressions,SW
571,The manylinux2010 Platform Tag,IS
573,Module State Access from C Extension Methods,SF
574,Pickle protocol 5 with out-of-band data,SF
570,Python Positional-Only Parameters,SF
569,Python 3.8 Release Schedule,IA
567,Context Variables,SF
568,Generator-sensitivity for Context Variables,SD
572,Assignment Expressions,SF
565,Show DeprecationWarning in __main__,SF
564,Add new time functions with nanosecond resolution,SF
563,Postponed Evaluation of Annotations,SA
561,Distributing and Packaging Type Information,SF
560,Core support for typing module and generic types,SF
562,Module __getattr__ and __dir__,SF
566,Metadata for Python Software Packages 2.1,SF
559,Built-in noop(),SR
558,Defined semantics for locals(),SW
557,Data Classes,SF
556,Threaded garbage collection,SD
555,Context-local variables (contextvars),SW
551,Security transparency in the Python runtime,IW
553,Built-in breakpoint(),SF
552,Deterministic pycs,SF
554,Multiple Interpreters in the Stdlib,SS
549,Instance Descriptors,SR
547,Running extension modules using the -m option,SD
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,SR
548,More Flexible Loop Control,SR
550,Execution Context,SW
544,Protocols: Structural subtyping (static duck typing),SF
545,Python Documentation Translations,PF
543,A Unified TLS API for Python,SW
541,Package Index Name Retention,PF
542,Dot Notation Assignment In Function Header,SR
540,Add a new UTF-8 Mode,SF
536,Final Grammar for Literal String Interpolation,SW
539,A New C-API for Thread-Local Storage in CPython,SF
538,Coercing the legacy C locale to a UTF-8 based locale,SF
537,Python 3.7 Release Schedule,IF
535,Rich comparison chaining,SD
534,Improved Errors for Missing Standard Library Modules,SD
533,Deterministic cleanup for iterators,SD
531,Existence checking operators,SW
532,A circuit breaking protocol and binary operators,SD
530,Asynchronous Comprehensions,SF
529,Change Windows filesystem encoding to UTF-8,SF
527,Removing Un(der)used file types/extensions on PyPI,SF
528,Change Windows console encoding to UTF-8,SF
526,Syntax for Variable Annotations,SF
524,Make os.urandom() blocking on Linux,SF
523,Adding a frame evaluation API to CPython,SF
519,Adding a file system path protocol,SF
522,Allow BlockingIOError in security sensitive APIs,SR
525,Asynchronous Generators,SF
521,Managing global context via ‘with’ blocks in generators and coroutines,SW
520,Preserving Class Attribute Definition Order,SF
517,A build-system independent format for source trees,SF
518,Specifying Minimum Build System Requirements for Python Projects,SF
516,Build system abstraction for pip/conda etc,SR
515,Underscores in Numeric Literals,SF
514,Python registration in the Windows registry,IA
513,A Platform Tag for Portable Linux Built Distributions,IS
512,Migrating from hg.python.org to GitHub,PF
511,API for code transformers,SR
505,None-aware operators,SD
508,Dependency specification for Python Software Packages,SF
507,Migrate CPython to Git and GitLab,PR
509,Add a private version to dict,SS
506,Adding A Secrets Module To The Standard Library,SF
510,Specialize functions with guards,SR
502,String Interpolation - Extended Discussion,IR
504,Using the System RNG by default,SW
496,Environment Markers,IR
497,A standard mechanism for backward compatibility,PR
500,A protocol for delegating datetime methods to their tzinfo implementations,SR
499,python -m foo should also bind 'foo' in sys.modules,SD
498,Literal String Interpolation,SF
494,Python 3.6 Release Schedule,IF
501,General purpose string interpolation,SD
495,Local Time Disambiguation,SF
492,Coroutines with async and await syntax,SF
490,Chain exceptions at C level,SR
489,Multi-phase extension module initialization,SF
488,Elimination of PYO files,SF
487,Simpler customisation of class creation,SF
491,The Wheel Binary Package Format 1.9,SD
485,A Function for testing approximate equality,SF
484,Type Hints,SF
482,Literature Overview for Type Hints,IF
493,HTTPS verification migration tools for Python 2.7,SF
483,The Theory of Type Hints,IF
486,Make the Python Launcher aware of virtual environments,SF
481,"Migrate CPython to Git, Github, and Phabricator",PW
480,Surviving a Compromise of PyPI: End-to-end signing of packages,S
478,Python 3.5 Release Schedule,IF
479,Change StopIteration handling inside generators,SF
476,Enabling certificate verification by default for stdlib http clients,SF
477,Backport ensurepip (PEP 453) to Python 2.7,SF
475,Retry system calls failing with EINTR,SF
473,Adding structured data to built-in exceptions,SR
474,Creating forge.python.org,PW
472,Support for indexing with keyword arguments,SR
471,os.scandir() function – a better and faster directory iterator,SF
470,Removing External Hosting Support on PyPI,PF
468,Preserving the order of **kwargs in a function.,SF
469,Migration of dict iteration code to Python 3,SW
467,Minor API improvements for binary sequences,S
464,Removal of the PyPI Mirror Authenticity API,PF
466,Network Security Enhancements for Python 2.7.x,SF
465,A dedicated infix operator for matrix multiplication,SF
462,Core development workflow automation for CPython,PW
463,Exception-catching expressions,SR
457,Notation For Positional-Only Parameters,IF
460,Add binary interpolation and formatting,SW
461,Adding % formatting to bytes and bytearray,SF
458,Secure PyPI downloads with signed repository metadata,SA
459,Standard Metadata Extensions for Python Software Packages,SW
456,Secure and interchangeable hash algorithm,SF
455,Adding a key-transforming dictionary to collections,SR
454,Add a new tracemalloc module to trace Python memory allocations,SF
453,Explicit bootstrapping of pip in Python installations,SF
448,Additional Unpacking Generalizations,SF
450,Adding A Statistics Module To The Standard Library,SF
452,API for Cryptographic Hash Functions v2.0,IF
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,PF
451,A ModuleSpec Type for the Import System,SF
447,Add __getdescriptor__ method to metaclass,SD
446,Make newly created file descriptors non-inheritable,SF
441,Improving Python ZIP Application Support,SF
443,Single-dispatch generic functions,SF
445,Add new APIs to customize Python memory allocators,SF
442,Safe object finalization,SF
444,Python Web3 Interface,ID
440,Version Identification and Dependency Specification,SF
439,Inclusion of implicit pip bootstrap in Python installation,SR
438,Transitioning to release-file hosting on PyPI,PS
437,"A DSL for specifying signatures, annotations and argument converters",SR
435,Adding an Enum type to the Python standard library,SF
434,IDLE Enhancement Exception for All Branches,IA
436,The Argument Clinic DSL,SF
433,Easier suppression of file descriptor inheritance,SS
432,Restructuring the CPython startup sequence,SW
424,A method for exposing a length hint,SF
430,Migrating to Python 3 as the default online documentation,IF
429,Python 3.4 Release Schedule,IF
431,Time zone support improvements,SS
425,Compatibility Tags for Built Distributions,SF
428,The pathlib module – object-oriented filesystem paths,SF
426,Metadata for Python Software Packages 2.0,IW
427,The Wheel Binary Package Format 1.0,SF
422,Simpler customisation of class creation,SW
419,Protecting cleanup statements from interruptions,SD
423,Naming conventions and recipes related to packaging,ID
421,Adding sys.implementation,SF
420,Implicit Namespace Packages,SF
416,Add a frozendict builtin type,SR
417,Including mock in the Standard Library,SF
418,"Add monotonic time, performance counter, and process time functions",SF
412,Key-Sharing Dictionary,SF
414,Explicit Unicode Literal for Python 3.3,SF
415,Implement context suppression with exception attributes,SF
411,Provisional packages in the Python standard library,IS
408,Standard library __preview__ package,SR
410,Use decimal.Decimal type for timestamps,SR
413,Faster evolution of the Python Standard Library,PW
405,Python Virtual Environments,SF
409,Suppressing exception context,SF
406,Improved Encapsulation of Import State,SW
407,New release cycle and introducing long-term support versions,PD
404,Python 2.8 Un-release Schedule,IF
403,General purpose decorator clause (aka “@in” clause),SD
401,BDFL Retirement,PA
399,Pure Python/C Accelerator Module Compatibility Requirements,IF
400,Deprecate codecs.StreamReader and codecs.StreamWriter,SD
402,Simplified Package Layout and Partitioning,SR
398,Python 3.3 Release Schedule,IF
395,Qualified Names for Modules,SW
397,Python launcher for Windows,SF
392,Python 3.2 Release Schedule,IF
391,Dictionary-Based Configuration For Logging,SF
393,Flexible String Representation,SF
396,Module Version Numbers,IR
389,argparse - New Command Line Parsing Module,SF
390,Static metadata for Distutils,SR
386,Changing the version comparison module in Distutils,SS
385,Migrating from Subversion to Mercurial,PF
387,Backwards Compatibility Policy,PA
384,Defining a Stable ABI,SF
383,Non-decodable Bytes in System Character Interfaces,SF
394,The “python” Command on Unix-Like Systems,IA
382,Namespace Packages,SR
379,Adding an Assignment Expression,SW
381,Mirroring infrastructure for PyPI,SW
380,Syntax for Delegating to a Subgenerator,SF
377,Allow __enter__() methods to skip the statement body,SR
376,Database of Installed Python Distributions,SF
375,Python 3.1 Release Schedule,IF
378,Format Specifier for Thousands Separator,SF
372,Adding an ordered dictionary to collections,SF
374,Choosing a distributed VCS for the Python project,PF
370,Per user site-packages directory,SF
371,Addition of the multiprocessing package to the standard library,SF
373,Python 2.7 Release Schedule,IF
369,Post import hooks,SW
367,New Super,SS
368,Standard image protocol and class,SD
366,Main module explicit relative imports,SF
365,Adding the pkg_resources module,SR
362,Function Signature Object,SF
363,Syntax For Dynamic Attribute Access,SR
361,Python 2.6 and 3.0 Release Schedule,IF
364,Transitioning to the Py3K Standard Library,SW
360,Externally Maintained Packages,PF
359,The “make” Statement,SW
357,Allowing Any Object to be Used for Slicing,SF
355,Path - Object oriented filesystem paths,SR
356,Python 2.5 Release Schedule,IF
354,Enumerations in Python,SS
358,The “bytes” Object,SF
353,Using ssize_t as the index type,SF
352,Required Superclass for Exceptions,SF
351,The freeze protocol,SR
350,Codetags,IR
346,User Defined (”with”) Statements,SW
348,Exception Reorganization for Python 3.0,SR
345,Metadata for Python Software Packages 1.2,SS
349,Allow str() to return unicode strings,SR
347,Migrating the Python CVS to Subversion,PF
344,Exception Chaining and Embedded Tracebacks,SS
343,The “with” Statement,SF
337,Logging Usage in the Standard Library,SD
339,Design of the CPython Compiler,IW
340,Anonymous Block Statements,SR
338,Executing modules as scripts,SF
341,Unifying try-except and try-finally,SF
336,Make None Callable,SR
342,Coroutines via Enhanced Generators,SF
335,Overloadable Boolean Operators,SR
334,Simple Coroutines via SuspendIteration,SW
329,Treating Builtins as Constants in the Standard Library,SR
330,Python Bytecode Verification,SR
331,Locale-Independent Float/String Conversions,SF
327,Decimal Data Type,SF
332,Byte vectors and String/Unicode Unification,SR
328,Imports: Multi-Line and Absolute/Relative,SF
326,A Case for Top and Bottom Values,SR
333,Python Web Server Gateway Interface v1.0,IF
323,Copyable Iterators,SD
325,Resource-Release Support for Generators,SR
324,subprocess - New process module,SF
322,Reverse Iteration,SF
321,Date/Time Parsing and Formatting,SW
320,Python 2.4 Release Schedule,IF
318,Decorators for Functions and Methods,SF
319,Python Synchronize/Asynchronize Block,SR
317,Eliminate Implicit Exception Instantiation,SR
316,Programming by Contract for Python,SD
315,Enhanced While Loop,SR
314,Metadata for Python Software Packages 1.1,SS
313,Adding Roman Numeral Literals to Python,SR
312,Simple Implicit Lambda,SD
311,Simplified Global Interpreter Lock Acquisition for Extensions,SF
310,Reliable Acquisition/Release Pairs,SR
307,Extensions to the pickle protocol,SF
306,How to Change Python’s Grammar,IW
309,Partial Function Application,SF
308,Conditional Expressions,SF
305,CSV File API,SF
304,Controlling Generation of Bytecode Files,SW
299,Special __main__() function in modules,SR
301,Package Index and Metadata for Distutils,SF
296,Adding a bytes Object Type,SW
298,The Locked Buffer Interface,SW
303,Extend divmod() for Multiple Divisors,SR
297,Support for System Upgrades,SR
302,New Import Hooks,SF
295,Interpretation of multiline string constants,SR
293,Codec Error Handling Callbacks,SF
294,Type Names in the types Module,SR
292,Simpler String Substitutions,SF
289,Generator Expressions,SF
290,Code Migration and Modernization,IA
291,Backward Compatibility for the Python 2 Standard Library,IF
288,Generators Attributes and Exceptions,SW
287,reStructuredText Docstring Format,IA
286,Enhanced Argument Tuples,SD
285,Adding a bool type,SF
283,Python 2.3 Release Schedule,IF
280,Optimizing access to globals,SD
284,Integer for-loops,SR
282,A Logging System,SF
279,The enumerate() built-in function,SF
281,Loop Counter Iteration with range and xrange,SR
277,Unicode file name support for Windows NT,SF
272,API for Block Encryption Algorithms v1.0,IF
278,Universal Newline Support,SF
274,Dict Comprehensions,SF
273,Import Modules from Zip Archives,SF
271,Prefixing sys.path by command line option,SR
276,Simple Iterator for ints,SR
275,Switching on Multiple Values,SR
265,Sorting Dictionaries by Value,SR
267,Optimized Access to Module Namespaces,SD
266,Optimizing Global Variable/Attribute Access,SW
269,Pgen Module for Python,SD
270,uniq method for list objects,SR
264,Future statements in simulated shells,SF
263,Defining Python Source Code Encodings,SF
268,Extended HTTP functionality and WebDAV,SR
262,A Database of Installed Python Packages,SR
261,Support for “wide” Unicode characters,SF
256,Docstring Processing System Framework,SR
257,Docstring Conventions,IA
255,Simple Generators,SF
259,Omit printing newline after newline,SR
258,Docutils Design Specification,SR
260,Simplify xrange(),SF
254,Making Classes Look More Like Types,SR
249,Python Database API Specification v2.0,IF
251,Python 2.2 Release Schedule,IF
252,Making Types Look More Like Classes,SF
247,API for Cryptographic Hash Functions,IF
250,Using site-packages on Windows,SF
253,Subtyping Built-in Types,SF
246,Object Adaptation,SR
245,Python Interface Syntax,SR
242,Numeric Kinds,SW
241,Metadata for Python Software Packages,SS
244,The directive statement,SR
243,Module Repository Upload Mechanism,SW
240,Adding a Rational Literal to Python,SR
248,Python Database API Specification v1.0,IF
239,Adding a Rational Type to Python,SR
237,Unifying Long Integers and Integers,SF
233,Python Online Help,SD
238,Changing the Division Operator,SF
236,Back to the __future__,SF
235,Import on Case-Insensitive Platforms,SF
234,Iterators,SF
231,__findattr__(),SR
229,Using Distutils to Build Python,SF
228,Reworking Python’s Numeric Model,SW
230,Warning Framework,SF
227,Statically Nested Scopes,SF
226,Python 2.1 Release Schedule,IF
225,Elementwise/Objectwise Operators,SR
232,Function Attributes,SF
220,"Coroutines, Generators, Continuations",IR
224,Attribute Docstrings,SR
222,Web Library Enhancements,SD
223,Change the Meaning of \x Escapes,SF
221,Import As,SF
219,Stackless Python,SD
218,Adding a Built-In Set Object Type,SF
217,Display Hook for Interactive Use,SF
216,Docstring Format,IW
215,String Interpolation,SS
214,Extended Print Statement,SF
213,Attribute Access Handlers,SD
212,Loop Counter Iteration,SR
211,Adding A New Outer Product Operator,SR
210,Decoupling the Interpreter Loop,SR
209,Multi-dimensional Arrays,SW
206,Python Advanced Library,IW
208,Reworking the Coercion Model,SF
205,Weak References,SF
207,Rich Comparisons,SF
204,Range Literals,SR
203,Augmented Assignments,SF
202,List Comprehensions,SF
7,Style Guide for C Code,PA
6,Bug Fix Releases,PS
2,Procedure for Adding New Modules,PA
3,Guidelines for Handling Bug Reports,PW
5,Guidelines for Language Evolution,PS
4,Deprecation of Standard Modules,PA
